,EmployeeID,Name,Age,Gender,Department,JobTitle,City,Education,YearsOfExperience,Salary,Bonus,PerformanceScore,PerformanceRating,JoiningDate,Email,Phone
0,EMP12661,Ashley Sanchez,39.0,Other,Sales,Ux Designer,Dubai,diploma,35.0,27463,29573.0,3.8,Poor,2015-08-23,ashley.sanchez8575@gmail.com,0449253331
1,EMP10103,Emily Zhou,52.0,Other,Human Resources,Operations Manager,Melbourne,B.Tech.,0.0,248966,294065.0,9.7,Poor,2005-05-30,emily.zhou4512@outlook.com,3018895813
2,EMP14856,Lucas Shah,45.0,Female,Operations,Operations Manager,Jeddah,MBBS,14.0,578725,255103.0,3.1,Good,2024-06-03,lucas.shah4602@outlook.com,1943388368
3,EMP10694,Ravi Farooq,58.0,Female,R&D,Data Scientist,Tokyo,Diploma,13.0,996079,75638.0,6.0,Good,2007-10-10,ravi.farooq782@yahoo.com,9239359203
4,EMP12582,Mariam Baig,28.0,Male,Customer Support,Project Manager,Riyadh,Diploma,23.0,958735,416880.0,2.6,Poor,2015-04-30,mariam.baig7089@yahoo.com,3930955764
5,EMP10277,Chen Bukhari,56.0,Other,Hr,Legal Counsel,Bangkok,PhD,23.0,460564,194546.0,9.6,Bad,2006-02-08,chen.bukhari6036@yahoo.com,0559443989
6,EMP10435,Mia Chaudhry,61.0,Male,Finance,Legal Counsel,Calgary,MBA (Finance),2.0,309139,331467.0,4.0,Good,2006-09-27,mia.chaudhry5647@company.org,4430866033
7,EMP10091,Luis Iyer,53.0,Female,Operations,Vp,Austin,B.Sc,3.0,396169,15322.0,8.6,Excellent,2005-05-12,luis.iyer1820@yahoo.com,2339096477
8,EMP10433,Mariam Ali,55.0,Other,Logistics,Senior Developer,Perth,MCA,28.0,688374,351031.0,3.3,Excellent,2006-09-24,mariam.ali9633@gmail.com,5706356319
9,EMP10151,Ava Johnson,48.0,Male,Logistics,Procurement Manager,Mumbai,BBA,8.0,874908,327510.0,6.9,Poor,2005-08-08,ava.johnson8091@hotmail.com,6331543271
10,EMP13450,Ravi Pillai,55.0,Female,Marketing,Scrum Master,Nottingham,B.Sc,8.0,390409,116408.0,5.8,Poor,2018-10-19,ravi.pillai4058@hotmail.com,5084081862
11,EMP14289,Ali Zhang,59.0,Male,Finance,Financial Analyst,Doha,MBA (HR),19.0,361409,387846.0,9.5,Bad,2022-02-26,ali.zhang463@company.org,3527611027
12,EMP10035,John Zhou,26.0,Female,Procurement,Logistics Coordinator,Nottingham,M.Com,17.0,440573,25624.0,9.5,excellent,2005-02-19,john.zhou8530@company.org,7824431774
13,EMP13102,Sophia Lewis,42.0,Female,Procurement,Qa Engineer,Toronto,B.Sc,3.0,621004,494469.0,6.9,Good,2017-05-28,sophia.lewis5338@gmail.com,2032056718
14,EMP12764,Ashley Singh,35.0,Male,Admin,Project Manager,Bristol,Post Graduate,21.0,452911,32301.0,5.2,excellent,2016-01-20,ashley.singh7172@company.org,3776351350
15,EMP11827,Layla Farooq,49.0,Male,Finance,Intern,Manchester,MBA (Finance),12.0,79830,316560.0,1.1,Good,2012-04-21,layla.farooq6434@company.org,7137434040
16,EMP12444,Isabella Singh,41.0,Male,Operations,Vp,Vancouver,Ph.D,7.0,652427,331967.0,9.8,Good,2014-10-10,isabella.singh3481@yahoo.com,9025582312
17,EMP11994,Mohammed Sharma,42.0,Female,Engineering,Business Analyst,Sharjah,Diploma,8.0,948788,323902.0,5.7,Good,2012-12-21,mohammed.sharma4255@yahoo.com,6160669951
18,EMP10014,Ali Ansari,59.0,Female,Admin,Financial Analyst,Sharjah,diploma,1.0,185020,155201.0,5.7,Good,2005-01-19,ali.ansari9615@company.org,8931305089
19,EMP12600,Valentina Gupta,48.0,Other,Engineering,Database Admin,Doha,M.Sc,11.0,350024,51374.0,2.4,Bad,2015-05-26,valentina.gupta9107@gmail.com,4574592575
20,EMP12252,Chen Alvi,27.0,Female,Customer Support,Vp,Dubai,M.Sc,30.0,591204,447527.0,2.1,Average,2014-01-02,chen.alvi8365@outlook.com,1304240611
21,EMP11733,Priya Thomas,57.0,Male,Procurement,Logistics Coordinator,Tokyo,MCA,33.0,639848,330373.0,5.8,Good,2011-12-06,priya.thomas2449@hotmail.com,8265205497
22,EMP11409,Nour Wang,22.0,Other,Operations,Ux Designer,San Diego,PhD,13.0,128406,101336.0,1.6,excellent,2010-08-20,nour.wang1467@outlook.com,6943520162
23,EMP13825,Nadia Banerjee,41.24868893182445,Male,Finance,Sales Executive,Philadelphia,BTech,33.0,58988,252674.0,6.8,Poor,2020-04-19,nadia.banerjee6312@yahoo.com,5524033840
24,EMP11059,Rania Iyer,28.0,Female,Hr,Hr Manager,Jakarta,mba (finance),14.0,576743,478473.0,5.1,Poor,2009-03-26,rania.iyer2138@outlook.com,3198213068
25,EMP11286,Dina Malik,28.0,Female,Customer Support,Senior Developer,Surat,Diploma,22.0,168063,62663.0,3.4,Average,2010-02-21,dina.malik8074@outlook.com,9076587364
26,EMP12763,Luis Taylor,31.0,Male,Quality,Security Analyst,Vancouver,BTECH,23.0,545339,332071.0,6.3,Good,2016-01-19,luis.taylor2940@yahoo.com,2027957980
27,EMP12242,Hana Siddiqui,48.0,Other,Finance,Security Analyst,Hyderabad,BBA,37.0,129188,305045.0,4.9,Good,2013-12-19,hana.siddiqui7958@hotmail.com,5222954636
28,EMP11578,Suresh Wilson,35.0,Male,Sales,Business Analyst,Manama,BSc,13.0,134734,210397.0,2.4,excellent,2011-04-24,suresh.wilson7555@gmail.com,2134126464
29,EMP11866,Pooja Das,57.0,Female,Admin,Sales Executive,Manchester,PhD,22.0,307352,443607.0,3.0,Good,2012-06-17,pooja.das2309@yahoo.com,4895677326
30,EMP14786,Jose Yang,31.0,Female,R&D,Data Analyst,Kolkata,BBA,29.0,285093,63423.0,5.9,Poor,2024-02-22,jose.yang4363@outlook.com,6808019829
31,EMP10571,Ali Gupta,38.0,Female,Marketing,Hr Manager,Manila,mba,19.0,314661,244312.0,3.5,Poor,2007-04-13,ali.gupta6338@yahoo.com,3083706203
32,EMP11284,Lucas Huang,29.0,Female,Sales,Senior Developer,Sydney,MBBS,23.0,973842,31495.0,2.9,Poor,2010-02-18,lucas.huang5745@gmail.com,1036350656
33,EMP10072,Lin Das,51.0,Male,Human Resources,Operations Manager,Toronto,mba,27.0,782306,335102.0,5.6,Good,2005-04-14,lin.das2753@company.org,8268026793
34,EMP11202,Mia Huang,30.0,Female,Sales,Financial Analyst,Ahmedabad,Ph.D,12.0,589014,400685.0,4.5,Good,2009-10-21,mia.huang4519@gmail.com,5326011590
35,EMP10165,Tariq Das,35.0,Female,Finance,Financial Analyst,Dammam,BE,18.418565869927736,595021,464527.0,7.2,Good,2005-08-28,tariq.das987@hotmail.com,1416934000
36,EMP10641,Liu Chatterjee,33.0,Female,Legal,Product Manager,Dammam,diploma,8.0,204885,386529.0,8.3,Bad,2007-07-25,liu.chatterjee2319@gmail.com,6913086439
37,EMP10346,Amir Akhtar,54.0,Other,Customer Support,Ux Designer,Sharjah,B.Arch,16.0,699360,468868.0,8.1,Excellent,2006-05-20,amir.akhtar2225@hotmail.com,6956586626
38,EMP14408,James Qureshi,41.0,Female,Admin,Logistics Coordinator,Abu Dhabi,PhD,19.0,932691,407580.0,9.0,Good,2022-08-19,james.qureshi5884@gmail.com,5338760008
39,EMP11057,Priya Hassan,40.0,Female,Admin,Intern,Bristol,B.E,34.0,475841,60211.0,5.9,Good,2009-03-23,priya.hassan4009@yahoo.com,1302731610
40,EMP12402,Michael Young,27.0,Female,R&D,Business Analyst,Leeds,Diploma,17.0,946721,351573.0,2.6,Excellent,2014-08-10,michael.young6490@outlook.com,4154876331
41,EMP12412,Karim Shah,41.0,Male,Logistics,Cloud Architect,Glasgow,M.Tech,33.0,309253,441987.0,9.7,Excellent,2014-08-24,karim.shah3615@gmail.com,7250277172
42,EMP11153,Liu Sanchez,53.0,Male,Engineering,Intern,Doha,M.Com,7.0,390430,281494.0,8.6,excellent,2009-08-11,liu.sanchez8427@company.org,2361878983
43,EMP12051,Xiao Rao,37.0,Male,Human Resources,Logistics Coordinator,New York,M.Tech,2.0,312511,392250.0,7.1,Bad,2013-03-15,xiao.rao7229@outlook.com,0118404813
44,EMP10566,Yang Thompson,46.0,Female,Sales,Product Manager,Kuwait City,Ph.D,25.0,673454,286840.0,2.2,Good,2007-04-06,yang.thompson994@company.org,6797838445
45,EMP12012,Lin Ibrahim,60.0,Male,Hr,Director,Singapore,bba,25.0,79869,90607.0,5.7,Bad,2013-01-17,lin.ibrahim763@outlook.com,5061835125
46,EMP11968,Amit Gonzalez,60.0,Male,Legal,Financial Analyst,Jeddah,B.Com,9.0,89688,184848.0,8.9,Good,2012-11-13,amit.gonzalez5961@hotmail.com,3524387012
47,EMP14265,Carlos Torres,39.0,Female,Hr,Financial Analyst,Edinburgh,PhD,10.0,565578,184548.0,7.3,Average,2022-01-22,carlos.torres2138@gmail.com,4176250497
48,EMP14556,Tariq Zhang,51.0,Male,Hr,Logistics Coordinator,Jakarta,PhD,20.0,295968,246841.0,9.7,Poor,2023-03-23,tariq.zhang8948@yahoo.com,5311604626
49,EMP12496,Lakshmi Shah,56.0,Male,Finance,Software Engineer,Jaipur,BBA,14.0,429525,182590.0,1.4,Good,2014-12-25,lakshmi.shah9403@hotmail.com,1807482610
50,EMP11999,Sarah Martin,38.0,Male,Human Resources,Senior Developer,Ottawa,llb,6.0,483621,338558.0,6.4,Average,2012-12-29,sarah.martin8713@gmail.com,9569465810
51,EMP14659,Deepak Hashmi,42.0,Male,Marketing,Data Analyst,San Diego,MBA (Finance),2.0,592906,244885.0,9.3,Good,2023-08-20,deepak.hashmi9839@yahoo.com,1747287907
52,EMP13489,Wei Rizvi,41.0,Male,Human Resources,Database Admin,Doha,BTech,30.0,331632,65908.0,9.7,Average,2018-12-15,wei.rizvi480@company.org,3385393858
53,EMP12227,Hassan Jackson,33.0,Female,Customer Support,Intern,Leeds,BBA,26.0,100340,65900.0,6.0,Average,2013-11-27,hassan.jackson1215@outlook.com,6175552928
54,EMP12722,Sneha Yang,24.0,Female,Admin,Product Manager,Glasgow,MBA (Finance),24.0,633466,355392.0,7.6,Average,2015-11-20,sneha.yang6173@hotmail.com,6520554313
55,EMP11280,John Johnson,58.0,Female,Marketing,Business Analyst,Bangalore,diploma,22.0,44522,153299.0,6.4,Good,2010-02-12,john.johnson2318@gmail.com,6159563146
56,EMP12739,Sneha Gupta,58.0,Male,It,Sales Executive,Jakarta,B.Com,3.0,783205,184103.0,9.5,Good,2015-12-15,sneha.gupta9014@yahoo.com,4009696584
57,EMP10415,Pooja Gupta,47.0,Male,Legal,Database Admin,Muscat,PHD,27.0,260782,409777.0,4.3,Poor,2006-08-28,pooja.gupta1464@company.org,5292938799
58,EMP13816,Kiran Bukhari,43.0,Male,Admin,Intern,Los Angeles,PhD,11.0,568795,204647.0,4.9,Good,2020-04-06,kiran.bukhari4074@outlook.com,1521409417
59,EMP14256,Maria Chatterjee,55.0,Other,Legal,Director,Dallas,BBA,0.0,418045,33549.0,5.8,Poor,2022-01-08,maria.chatterjee2010@hotmail.com,5826686381
60,EMP11105,Valentina Kumar,33.0,Male,Procurement,Legal Counsel,Singapore,BTech,17.0,490758,309829.0,4.1,Good,2009-06-02,valentina.kumar527@gmail.com,4172013612
61,EMP12474,Deepak Li,37.0,Female,Customer Support,Qa Engineer,Nottingham,BTech,20.0,80663,301651.0,3.6,Good,2014-11-23,deepak.li4904@yahoo.com,7805595314
62,EMP10004,Wei Davis,30.0,Male,Procurement,Data Analyst,Chennai,BE,26.0,979236,283015.0,9.5,Good,2005-01-05,wei.davis5659@gmail.com,6760019003
63,EMP14926,Pooja Zhang,23.0,Male,Engineering,Network Engineer,Beijing,llb,26.0,814827,205859.0,9.0,Poor,2024-09-13,pooja.zhang6919@yahoo.com,6149457962
64,EMP10967,Layla Siddiqui,55.0,Female,Logistics,Procurement Manager,Brisbane,M.Com,15.0,251566,40426.0,3.3,Good,2008-11-12,layla.siddiqui6182@hotmail.com,9912687887
65,EMP13546,Ava Smith,36.0,Female,Procurement,Logistics Coordinator,Mumbai,MCA,21.0,160550,270920.0,4.1,Average,2019-03-08,ava.smith7326@company.org,0030008374
66,EMP14983,Rania Sharma,47.0,Other,Admin,Cloud Architect,Nottingham,M.Tech,20.0,671508,461794.0,9.3,Good,2024-12-06,rania.sharma8329@gmail.com,6814357833
67,EMP10302,Liu Khan,41.0,Female,Engineering,Procurement Manager,Vancouver,BTECH,18.0,926572,61574.0,7.8,excellent,2006-03-16,liu.khan4509@company.org,3647960513
68,EMP13154,Nadia Ansari,30.0,Male,Admin,Marketing Specialist,Manchester,B.Com,16.0,763072,215011.0,6.4,Poor,2017-08-12,nadia.ansari3916@outlook.com,6514778768
69,EMP14887,Yusuf Sharma,51.0,Male,Sales,Marketing Specialist,Tokyo,DIPLOMA,10.0,653214,121865.0,9.7,Bad,2024-07-18,yusuf.sharma5863@yahoo.com,3647342073
70,EMP10820,Zara Akhtar,52.0,Female,Logistics,Intern,Perth,mba,3.0,459347,372443.0,5.7,Good,2008-04-11,zara.akhtar2735@hotmail.com,6527544378
71,EMP14971,Isabella Miller,44.0,Male,Operations,Intern,Sharjah,BE,12.0,270974,320261.0,4.1,Poor,2024-11-18,isabella.miller5650@hotmail.com,6192240033
72,EMP12599,Ashley Young,37.0,Female,Admin,Software Engineer,Bangalore,llb,32.0,615687,159368.0,9.7,Average,2015-05-24,ashley.young8675@yahoo.com,2940608235
73,EMP11777,Aarav Martin,37.0,Male,Sales,Product Manager,Singapore,Post Graduate,18.0,687800,234286.0,4.4,Bad,2012-02-08,aarav.martin3367@gmail.com,5727148357
74,EMP13556,Kavya Joshi,43.0,Other,Sales,Scrum Master,Muscat,M.Tech,24.0,934950,264978.0,6.7,Good,2019-03-23,kavya.joshi4563@gmail.com,4117946180
75,EMP13525,Sofia Garcia,25.0,Female,Marketing,Network Engineer,Chicago,BTECH,27.0,965337,204037.0,5.0,Poor,2019-02-05,sofia.garcia1966@company.org,3124526094
76,EMP10717,Valentina Perez,44.0,Female,Logistics,Business Analyst,Bangkok,b.com,8.0,809133,276176.0,8.0,Poor,2007-11-13,valentina.perez71@gmail.com,7704706329
77,EMP14191,Layla Lewis,59.0,Other,Customer Support,Database Admin,Manila,Post Graduate,24.0,82066,239494.0,3.6,Bad,2021-10-05,layla.lewis6970@hotmail.com,9615828408
78,EMP10848,Dina Thompson,31.0,Female,Logistics,Database Admin,Phoenix,Post Graduate,12.0,197412,115213.0,7.8,Good,2008-05-22,dina.thompson1437@yahoo.com,4062373941
79,EMP13602,Amanda Mirza,42.0,Other,Engineering,Logistics Coordinator,Pune,mba (finance),5.0,918587,236841.0,8.5,Good,2019-05-29,amanda.mirza6908@gmail.com,4640383228
80,EMP14675,Michael Miller,51.0,Female,Sales,Cloud Architect,Sharjah,mba (finance),0.0,840611,371180.0,1.5,Good,2023-09-13,michael.miller835@gmail.com,0256798090
81,EMP11976,Sara Martinez,32.0,Other,Sales,Qa Engineer,Kuwait City,bba,20.0,325340,472274.0,8.2,Average,2012-11-25,sara.martinez6991@hotmail.com,2887393256
82,EMP14577,Chen Lewis,49.0,Male,Admin,Data Scientist,Jakarta,llb,12.0,988827,459136.0,3.7,Average,2023-04-22,invalid_email,4301339652
83,EMP14402,Dina Sheikh,21.0,Female,Quality,Software Engineer,Beijing,MBA (HR),9.0,604297,105849.0,5.7,Good,2022-08-10,dina.sheikh5486@hotmail.com,8738821394
84,EMP10654,Lucas Ramirez,56.0,Male,Admin,Intern,Birmingham,MBA,23.0,750299,54893.0,2.9,Poor,2007-08-13,lucas.ramirez960@outlook.com,7266591222
85,EMP11425,Emma Malik,34.0,Male,Admin,Procurement Manager,Dammam,Diploma,32.0,60026,163751.0,6.5,Average,2010-09-12,emma.malik1781@company.org,1826589153
86,EMP10239,Mia Liu,47.0,Female,Operations,Ux Designer,Bangalore,M.Tech,22.0,169713,246363.0,2.4,Good,2005-12-14,mia.liu7801@company.org,1918339300
87,EMP14272,Amanda Ahmed,26.0,Male,Legal,Procurement Manager,Montreal,Ph.D,21.0,297779,373519.0,4.5,Bad,2022-02-01,amanda.ahmed4765@gmail.com,1151666585
88,EMP10292,Hassan Brown,59.0,Male,Engineering,Cloud Architect,Philadelphia,BSc,15.0,166209,135347.0,3.1,Average,2006-03-02,hassan.brown455@company.org,8325721676
89,EMP13131,Faisal Martinez,28.0,Male,Admin,Devops Engineer,Sydney,B.Com,3.0,63183,312089.0,3.6,Good,2017-07-10,faisal.martinez7004@gmail.com,8107992726
90,EMP10534,Yusuf Li,46.0,Female,Logistics,Operations Manager,London,M.Sc,20.0,381497,302487.0,7.0,Good,2007-02-18,yusuf.li125@outlook.com,2113312163
91,EMP14650,Ana Ali,41.24868893182445,Other,Human Resources,Devops Engineer,Manama,MBA (Finance),35.0,864771,335619.0,9.9,Good,2023-08-07,ana.ali4207@outlook.com,1731585038
92,EMP13726,Nadia Yang,60.0,Other,Admin,Financial Analyst,Phoenix,Post Graduate,32.0,135343,314470.0,6.4,excellent,2019-11-26,nadia.yang6232@gmail.com,0791154957
93,EMP12749,Meena Lopez,47.0,Male,Human Resources,Scrum Master,Beijing,B.Com,29.0,443767,310034.0,9.3,Poor,2015-12-30,meena.lopez6695@outlook.com,3875252343
94,EMP11773,Faisal Bukhari,53.0,Male,Customer Support,Network Engineer,Jakarta,B.E,28.0,423686,451176.0,4.5,Good,2012-02-03,faisal.bukhari962@outlook.com,8704645955
95,EMP14536,Jessica Anderson,22.0,Male,Sales,Cloud Architect,Chicago,MBBS,30.0,247600,189144.0,3.4,Poor,2023-02-22,jessica.anderson670@gmail.com,3024803010
96,EMP11417,Fatima Thomas,49.0,Female,Engineering,Ux Designer,Calgary,B.Arch,1.0,215128,380977.0,8.0,Good,2010-08-31,fatima.thomas7167@company.org,6578446831
97,EMP11814,Xiao Liu,40.0,Female,Engineering,Devops Engineer,Dallas,B.Sc,9.0,569446,183953.0,9.2,Good,2012-04-02,xiao.liu733@gmail.com,8489850897
98,EMP11137,Oliver Huang,26.0,Male,Logistics,Logistics Coordinator,Singapore,MCA,20.0,76483,492292.0,7.4,Poor,2009-07-18,oliver.huang7534@outlook.com,3482243982
